NIM,IP Awal,IP Konversi
1,2,14286,2,67857
2,2,42857,3,03571
3,3,3,75
4,3,28571,4,10714
5,1,57143,1,96429
6,1,1,25
7,3,28571,4,10714
8,1,57143,1,96429
9,1,85714,2,32143
10,1,85714,2,32143
11,3,71429,4,64286
12,3,14286,3,92857
13,1,28571,1,60714
14,1,42857,1,78571
15,3,14286,3,92857
16,1,57143,1,96429
17,2,57143,3,21429
18,2,71429,3,39286
19,2,14286,2,67857
20,2,28571,2,85714
21,1,85714,2,32143
22,1,71429,2,14286
23,2,14286,2,67857
24,1,85714,2,32143
25,2,14286,2,67857
26,3,28571,4,10714
27,1,85714,2,32143
28,2,85714,3,57143
29,1,57143,1,96429
30,3,14286,3,92857
31,3,14286,3,92857
32,2,14286,2,67857
33,3,42857,4,28571
34,3,42857,4,28571
35,2,71429,3,39286
36,2,71429,3,39286
37,2,57143,3,21429
38,2,42857,3,03571
39,2,28571,2,85714
40,2,28571,2,85714
41,3,28571,4,10714
42,2,85714,3,57143
43,2,71429,3,39286
44,2,14286,2,67857
45,3,3,75
46,2,2,5
47,2,42857,3,03571
48,3,42857,4,28571
49,2,28571,2,85714
50,3,14286,3,92857
